# x_m,y_m,w_tr_right_m,w_tr_left_m
12.3493,12.9498,1.4773,1.4773
12.2993,12.9498,1.4577,1.4577
12.2493,12.9498,1.4396,1.4396
12.1993,12.9998,1.4705,1.4705
12.1493,12.9998,1.4560,1.4560
12.0993,12.9998,1.4431,1.4431
12.0493,12.9998,1.4318,1.4318
11.9993,13.0498,1.4714,1.4714
11.9493,13.0498,1.4637,1.4637
11.8993,13.0498,1.4577,1.4577
11.8493,13.0498,1.4534,1.4534
11.7993,13.0998,1.5008,1.5008
11.7493,13.0998,1.5000,1.5000
11.6993,13.0998,1.5000,1.5000
11.6493,13.0998,1.5000,1.5000
11.5993,13.0998,1.5000,1.5000
11.5493,13.0998,1.5000,1.5000
11.4993,13.1498,1.5500,1.5500
11.4493,13.1498,1.5500,1.5500
11.3993,13.1498,1.5500,1.5500
11.3493,13.1498,1.5500,1.5500
11.2993,13.1498,1.5500,1.5500
11.2493,13.1498,1.5500,1.5500
11.1993,13.1498,1.5500,1.5500
11.1493,13.1498,1.5500,1.5500
11.0993,13.1498,1.5500,1.5500
11.0493,13.1498,1.5500,1.5500
10.9993,13.1498,1.5508,1.5508
10.9493,13.1498,1.5532,1.5532
10.8993,13.1498,1.5572,1.5572
10.8493,13.1498,1.5628,1.5628
10.7993,13.1498,1.5700,1.5700
10.7493,13.1498,1.5788,1.5788
10.6993,13.1498,1.5890,1.5890
10.6493,13.1498,1.6000,1.6000
10.5993,13.1498,1.6000,1.6000
10.5493,13.0998,1.5500,1.5500
10.4993,13.0998,1.5500,1.5500
10.4493,13.0998,1.5508,1.5508
10.3993,13.0998,1.5532,1.5532
10.3493,13.0998,1.5572,1.5572
10.2993,13.0998,1.5628,1.5628
10.2493,13.0998,1.5700,1.5700
10.1993,13.0998,1.5788,1.5788
10.1493,13.0998,1.5890,1.5890
10.0993,13.0998,1.6000,1.6000
10.0493,13.0998,1.6000,1.6000
9.9993,13.0998,1.6000,1.6000
9.9493,13.0998,1.6000,1.6000
9.8993,13.0998,1.6000,1.6000
9.8493,13.0998,1.6000,1.6000
9.7993,13.0998,1.6000,1.6000
9.7493,13.0498,1.5890,1.5890
9.6993,13.0498,1.6000,1.6000
